[2025-04-15 12:53:00] error: 	Unhandled error: Error: ENOENT: no such file or directory, stat 'C:\Users\kezia\Downloads\Project\WEVERSE API\public\index.html'
[2025-04-15 13:13:58] error: 	API Error: 404 - "<!DOCTYPE html><html lang=\"default\"><head><title>Weverse Account</title><meta charSet=\"utf-8\"/><meta http-equiv=\"X-UA-Compatible\" content=\"IE=edge\"/><meta name=\"viewport\" content=\"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=0\"/><link rel=\"icon\" href=\"/favicon.ico\"/><link rel=\"apple-touch-icon\" href=\"/weverse_touchicon.png\"/><script type=\"text/javascript\" src=\"https://appleid.cdn-apple.com/appleauth/static/jsapi/appleid/1/en_US/appleid.auth.js\"></script><link href=\"https://static.weverse.io/font/1.0.0/merged-dynamic.css\" rel=\"stylesheet\"/><meta name=\"next-head-count\" content=\"9\"/><link rel=\"preload\" href=\"/_next/static/css/6b9b71c8a89452cd.css\" as=\"style\"/><link rel=\"stylesheet\" href=\"/_next/static/css/6b9b71c8a89452cd.css\" data-n-g=\"\"/><noscript data-n-css=\"\"></noscript><script defer=\"\" nomodule=\"\" src=\"/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js\"></script><script src=\"/_next/static/chunks/webpack-b5b733ebf43779d6.js\" defer=\"\"></script><script src=\"/_next/static/chunks/framework-ef2e380aaaad6a23.js\" defer=\"\"></script><script src=\"/_next/static/chunks/main-d27ac32d59bfa5a8.js\" defer=\"\"></script><script src=\"/_next/static/chunks/pages/_app-71f35e65c105ef6b.js\" defer=\"\"></script><script src=\"/_next/static/chunks/pages/404-bbb1bb09d5e8202b.js\" defer=\"\"></script><script src=\"/_next/static/W24Py_dJMlkuEFmX0Whyz/_buildManifest.js\" defer=\"\"></script><script src=\"/_next/static/W24Py_dJMlkuEFmX0Whyz/_ssgManifest.js\" defer=\"\"></script><style data-styled=\"\" data-styled-version=\"5.3.5\">html{height:100%;font-size:10px;}/*!sc*/\nhtml[lang=ko] body{font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;}/*!sc*/\nhtml[lang=en] body{font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;}/*!sc*/\nhtml[lang=es] body{font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;}/*!sc*/\nhtml[lang=ja] body{font-family:\"Noto Sans JP\",\"Hiragino Sans\",Meiryo,sans-serif;}/*!sc*/\nhtml[lang=zh-cn] body{font-family:PingFangSC,\"Hiragino Sans GB\",\"Microsoft YaHei\",\"WenQuanYi Micro Hei\";}/*!sc*/\nhtml[lang=zh-tw] body{font-family:\"SF Pro TC\",PingFangTC,\"Heiti TC\",\"Microsoft JhengHei UI\";}/*!sc*/\nbody{color:#202429;font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;font-size:1.4rem;font-weight:normal;font-style:normal;font-stretch:normal;line-height:1.4;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:normal;width:100%;height:100%;background-color:#F7F7FA;}/*!sc*/\nbody #root{width:100%;}/*!sc*/\nbody #__next{height:100%;}/*!sc*/\na{color:inherit;-webkit-text-decoration:none;text-decoration:none;}/*!sc*/\ninput,textarea{-webkit-appearance:none;-moz-appearance:none;appearance:none;}/*!sc*/\nul,ol,li{list-style:none;}/*!sc*/\n.blind{position:absolute;width:1px;height:1px;overflow:hidden;-webkit-clip:rect(0,0,0,0);clip:rect(0,0,0,0);}/*!sc*/\ndata-styled.g54[id=\"sc-global-keNuDm1\"]{content:\"sc-global-keNuDm1,\"}/*!sc*/\n</style></head><body><div id=\"__next\"></div><script id=\"__NEXT_DATA__\" type=\"application/json\">{\"props\":{\"pageProps\":{\"__lang\":\"default\"},\"__N_SSG\":true},\"page\":\"/404\",\"query\":{},\"buildId\":\"W24Py_dJMlkuEFmX0Whyz\",\"runtimeConfig\":{},\"isFallback\":false,\"gsp\":true,\"locale\":\"default\",\"locales\":[\"default\",\"en\",\"ko\",\"ja\",\"zh-CN\",\"zh-TW\",\"es\"],\"defaultLocale\":\"default\",\"scriptLoader\":[]}</script></body></html>"
[2025-04-15 13:13:58] error: 	Error response headers: {"content-type":"text/html","transfer-encoding":"chunked","connection":"keep-alive","date":"Tue, 15 Apr 2025 06:14:04 GMT","last-modified":"Thu, 03 Apr 2025 05:38:34 GMT","etag":"W/\"df33fa4ea58a6181eb0a81b6880b918d\"","x-amz-server-side-encryption":"AES256","cache-control":"public, max-age=0, s-maxage=2678400, must-revalidate","server":"AmazonS3","vary":"Accept-Encoding","x-cache":"Error from cloudfront","via":"1.1 78ffd64f74b6fee6e21c1f2c6d332e6a.cloudfront.net (CloudFront)","x-amz-cf-pop":"CGK51-P4","x-amz-cf-id":"CvpzV-XYj0v24_IFTFekZnOy4bfc1BWUOHC19-2Fc88OcB1Wxfz9QA=="}
[2025-04-15 13:13:58] error: 	Login failed: Request failed with status code 404
[2025-04-15 13:13:58] error: 	Error response: "<!DOCTYPE html><html lang=\"default\"><head><title>Weverse Account</title><meta charSet=\"utf-8\"/><meta http-equiv=\"X-UA-Compatible\" content=\"IE=edge\"/><meta name=\"viewport\" content=\"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=0\"/><link rel=\"icon\" href=\"/favicon.ico\"/><link rel=\"apple-touch-icon\" href=\"/weverse_touchicon.png\"/><script type=\"text/javascript\" src=\"https://appleid.cdn-apple.com/appleauth/static/jsapi/appleid/1/en_US/appleid.auth.js\"></script><link href=\"https://static.weverse.io/font/1.0.0/merged-dynamic.css\" rel=\"stylesheet\"/><meta name=\"next-head-count\" content=\"9\"/><link rel=\"preload\" href=\"/_next/static/css/6b9b71c8a89452cd.css\" as=\"style\"/><link rel=\"stylesheet\" href=\"/_next/static/css/6b9b71c8a89452cd.css\" data-n-g=\"\"/><noscript data-n-css=\"\"></noscript><script defer=\"\" nomodule=\"\" src=\"/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js\"></script><script src=\"/_next/static/chunks/webpack-b5b733ebf43779d6.js\" defer=\"\"></script><script src=\"/_next/static/chunks/framework-ef2e380aaaad6a23.js\" defer=\"\"></script><script src=\"/_next/static/chunks/main-d27ac32d59bfa5a8.js\" defer=\"\"></script><script src=\"/_next/static/chunks/pages/_app-71f35e65c105ef6b.js\" defer=\"\"></script><script src=\"/_next/static/chunks/pages/404-bbb1bb09d5e8202b.js\" defer=\"\"></script><script src=\"/_next/static/W24Py_dJMlkuEFmX0Whyz/_buildManifest.js\" defer=\"\"></script><script src=\"/_next/static/W24Py_dJMlkuEFmX0Whyz/_ssgManifest.js\" defer=\"\"></script><style data-styled=\"\" data-styled-version=\"5.3.5\">html{height:100%;font-size:10px;}/*!sc*/\nhtml[lang=ko] body{font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;}/*!sc*/\nhtml[lang=en] body{font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;}/*!sc*/\nhtml[lang=es] body{font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;}/*!sc*/\nhtml[lang=ja] body{font-family:\"Noto Sans JP\",\"Hiragino Sans\",Meiryo,sans-serif;}/*!sc*/\nhtml[lang=zh-cn] body{font-family:PingFangSC,\"Hiragino Sans GB\",\"Microsoft YaHei\",\"WenQuanYi Micro Hei\";}/*!sc*/\nhtml[lang=zh-tw] body{font-family:\"SF Pro TC\",PingFangTC,\"Heiti TC\",\"Microsoft JhengHei UI\";}/*!sc*/\nbody{color:#202429;font-family:\"Pretendard\",-apple-system,BlinkMacSystemFont,\"Malgun Gothic\",\"맑은 고딕\",Helvetica,Arial,sans-serif;font-size:1.4rem;font-weight:normal;font-style:normal;font-stretch:normal;line-height:1.4;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:normal;width:100%;height:100%;background-color:#F7F7FA;}/*!sc*/\nbody #root{width:100%;}/*!sc*/\nbody #__next{height:100%;}/*!sc*/\na{color:inherit;-webkit-text-decoration:none;text-decoration:none;}/*!sc*/\ninput,textarea{-webkit-appearance:none;-moz-appearance:none;appearance:none;}/*!sc*/\nul,ol,li{list-style:none;}/*!sc*/\n.blind{position:absolute;width:1px;height:1px;overflow:hidden;-webkit-clip:rect(0,0,0,0);clip:rect(0,0,0,0);}/*!sc*/\ndata-styled.g54[id=\"sc-global-keNuDm1\"]{content:\"sc-global-keNuDm1,\"}/*!sc*/\n</style></head><body><div id=\"__next\"></div><script id=\"__NEXT_DATA__\" type=\"application/json\">{\"props\":{\"pageProps\":{\"__lang\":\"default\"},\"__N_SSG\":true},\"page\":\"/404\",\"query\":{},\"buildId\":\"W24Py_dJMlkuEFmX0Whyz\",\"runtimeConfig\":{},\"isFallback\":false,\"gsp\":true,\"locale\":\"default\",\"locales\":[\"default\",\"en\",\"ko\",\"ja\",\"zh-CN\",\"zh-TW\",\"es\"],\"defaultLocale\":\"default\",\"scriptLoader\":[]}</script></body></html>"
[2025-04-15 13:13:58] error: 	Error response status: 404
[2025-04-15 13:13:58] error: 	Error response headers: {"content-type":"text/html","transfer-encoding":"chunked","connection":"keep-alive","date":"Tue, 15 Apr 2025 06:14:04 GMT","last-modified":"Thu, 03 Apr 2025 05:38:34 GMT","etag":"W/\"df33fa4ea58a6181eb0a81b6880b918d\"","x-amz-server-side-encryption":"AES256","cache-control":"public, max-age=0, s-maxage=2678400, must-revalidate","server":"AmazonS3","vary":"Accept-Encoding","x-cache":"Error from cloudfront","via":"1.1 78ffd64f74b6fee6e21c1f2c6d332e6a.cloudfront.net (CloudFront)","x-amz-cf-pop":"CGK51-P4","x-amz-cf-id":"CvpzV-XYj0v24_IFTFekZnOy4bfc1BWUOHC19-2Fc88OcB1Wxfz9QA=="}
[2025-04-15 13:13:58] error: 	Auto-login failed
[2025-04-15 13:17:12] error: 	Login failed: Request failed with status code 404
[2025-04-15 13:17:12] error: 	Error response: "<!doctype html><html lang=\"en\"><head><title>HTTP Status 404 – Not Found</title><style type=\"text/css\">body {font-family:Tahoma,Arial,sans-serif;} h1, h2, h3, b {color:white;background-color:#525D76;} h1 {font-size:22px;} h2 {font-size:16px;} h3 {font-size:14px;} p {font-size:12px;} a {color:black;} .line {height:1px;background-color:#525D76;border:none;}</style></head><body><h1>HTTP Status 404 – Not Found</h1></body></html>"
[2025-04-15 13:17:12] error: 	Error response status: 404
